stock_name,user_name,video_id,followers,views,likes,comments,shares
"Dollar General Corporation (DG)
Word Searched: dollar",thebuyinking,6940646927092452614,537900,44300,4311,113,102
"Domino's Pizza Inc (DPZ)
Word Searched: PizZa",stocktok16,6940295230285548806,3639,1429,90,7,1
"Dow Inc. (DOW)
Word Searched: HOW",assetorg,6937829967329873157,129200,31500,3139,77,70
"Dow Inc. (DOW)
Word Searched: down",milehighmoney,6935996559133887750,18500,3365,52,16,2
DraftKings Inc. (DKNG),stockvip,6926323575376858373,179400,89700,5655,212,643
"Dynatronics Corporation (DYNT)
Word Searched: dont",lifeofcarlos0,6923009819561479430,1321,888,44,10,4
"Dynatronics Corporation (DYNT)
Word Searched: dont",assetentities,6940696614826708229,513800,52600,3577,76,31
"ESG CORE WARRANTS (ESGWA.AS)
Word Searched: Warrant",spacs.ai,6932620674951384326,28100,2976,119,34,40
"ESG CORE WARRANTS (ESGWA.AS)
Word Searched: Warrants",spacs.ai,6932620674951384326,28100,2976,119,34,40
"ESG CORE WARRANTS (ESGWA.AS)
Word Searched: warrant",spacs.ai,6932620674951384326,28100,2976,119,34,40
"ESG CORE WARRANTS (ESGWA.AS)
Word Searched: warrants",spacs.ai,6932620674951384326,28100,2976,119,34,40
